Дата,Час,Код цифровий,Код літерний,Назва валюти,Курс
01.03.2005,0.0,840,USD,Долар США,5.2989999999999995
02.03.2005,0.0,840,USD,Долар США,5.2988
03.03.2005,0.0,840,USD,Долар США,5.2986
04.03.2005,0.0,840,USD,Долар США,5.2986
05.03.2005,0.0,840,USD,Долар США,5.297999999999999
06.03.2005,0.0,840,USD,Долар США,5.297999999999999
07.03.2005,0.0,840,USD,Долар США,5.297999999999999
08.03.2005,0.0,840,USD,Долар США,5.297999999999999
09.03.2005,0.0,840,USD,Долар США,5.297999999999999
10.03.2005,0.0,840,USD,Долар США,5.2975
11.03.2005,0.0,840,USD,Долар США,5.2971
12.03.2005,0.0,840,USD,Долар США,5.2971
13.03.2005,0.0,840,USD,Долар США,5.2971
14.03.2005,0.0,840,USD,Долар США,5.296
15.03.2005,0.0,840,USD,Долар США,5.2949
16.03.2005,0.0,840,USD,Долар США,5.294
17.03.2005,0.0,840,USD,Долар США,5.2937
18.03.2005,0.0,840,USD,Долар США,5.292999999999999
19.03.2005,0.0,840,USD,Долар США,5.292999999999999
20.03.2005,0.0,840,USD,Долар США,5.292999999999999
21.03.2005,0.0,840,USD,Долар США,5.2915
22.03.2005,0.0,840,USD,Долар США,5.291
23.03.2005,0.0,840,USD,Долар США,5.290800000000001
24.03.2005,0.0,840,USD,Долар США,5.2808
25.03.2005,0.0,840,USD,Долар США,5.2811
26.03.2005,0.0,840,USD,Долар США,5.2811
27.03.2005,0.0,840,USD,Долар США,5.2811
28.03.2005,0.0,840,USD,Долар США,5.2811
29.03.2005,0.0,840,USD,Долар США,5.2811
30.03.2005,0.0,840,USD,Долар США,5.2809
31.03.2005,0.0,840,USD,Долар США,5.2808
01.04.2005,0.0,840,USD,Долар США,5.2806
02.04.2005,0.0,840,USD,Долар США,5.2806
03.04.2005,0.0,840,USD,Долар США,5.2806
04.04.2005,0.0,840,USD,Долар США,5.2806
05.04.2005,0.0,840,USD,Долар США,5.2799000000000005
06.04.2005,0.0,840,USD,Долар США,5.2799000000000005
07.04.2005,0.0,840,USD,Долар США,5.275
08.04.2005,0.0,840,USD,Долар США,5.2747
09.04.2005,0.0,840,USD,Долар США,5.2747
10.04.2005,0.0,840,USD,Долар США,5.2747
11.04.2005,0.0,840,USD,Долар США,5.27
12.04.2005,0.0,840,USD,Долар США,5.269
13.04.2005,0.0,840,USD,Долар США,5.2665
14.04.2005,0.0,840,USD,Долар США,5.2604999999999995
15.04.2005,0.0,840,USD,Долар США,5.256
16.04.2005,0.0,840,USD,Долар США,5.256
17.04.2005,0.0,840,USD,Долар США,5.256
18.04.2005,0.0,840,USD,Долар США,5.235
19.04.2005,0.0,840,USD,Долар США,5.22
20.04.2005,0.0,840,USD,Долар США,5.19
21.04.2005,0.0,840,USD,Долар США,5.05
22.04.2005,0.0,840,USD,Долар США,5.05
23.04.2005,0.0,840,USD,Долар США,5.05
24.04.2005,0.0,840,USD,Долар США,5.05
25.04.2005,0.0,840,USD,Долар США,5.05
26.04.2005,0.0,840,USD,Долар США,5.05
27.04.2005,0.0,840,USD,Долар США,5.05
28.04.2005,0.0,840,USD,Долар США,5.05
29.04.2005,0.0,840,USD,Долар США,5.05
30.04.2005,0.0,840,USD,Долар США,5.05
01.05.2005,0.0,840,USD,Долар США,5.05
02.05.2005,0.0,840,USD,Долар США,5.05
03.05.2005,0.0,840,USD,Долар США,5.05
04.05.2005,0.0,840,USD,Долар США,5.05
05.05.2005,0.0,840,USD,Долар США,5.05
06.05.2005,0.0,840,USD,Долар США,5.05
07.05.2005,0.0,840,USD,Долар США,5.05
08.05.2005,0.0,840,USD,Долар США,5.05
09.05.2005,0.0,840,USD,Долар США,5.05
10.05.2005,0.0,840,USD,Долар США,5.05
11.05.2005,0.0,840,USD,Долар США,5.05
